Field,Pages,Values
Customer Name,1,p1: P.O. # Item #
Customer P.O. Number,1,p1: is correct in all applicable paperwork. Checked
Customer Part Number,1,p1: is correct in ail applicable paperwork. Checked
Customer Part Number Revision,Not found,Not found
AEM Part Number,1,p1: is correct in all applicable paperwork. Checked
AEM Lot Number,1,p1: is correct in all applicable paperwork. Checked
AEM Date Code,1,p1: is correct in all applicable paperwork Checked
AEM Cage Code,1,p1: is provided in C of C. Checked
Customer Quality Clauses,1,p1: are met. Checked
FAI Form 3,Not found,Not found
Solderability Test Report,Not found,Not found
DPA,1,p1: is completed. Checked
Visual Inspection Record,Not found,Not found
Shipment Quantity,1,p1: is correct. Checked
Reel Labels,Not found,Not found
Certificate of Conformance,Not found,Not found
Route Sheet,Not found,Not found
Part Number,1,p1: is correct in ail applicable paperwork. Checked
Lot Number,1,p1: is correct in all applicable paperwork. Checked
Date,1,p1: code is correct in all applicable paperwork Checked
Resistance,Not found,Not found
Dimension,Not found,Not found
Test Result,Not found,Not found
